"SecondIndex","WaitMs"
"0","7.9"
"1","8.1"
"2","7.9"
"3","8"
"4","7.9"
"5","4"
"6","4"
"7","0"
"8","7.8"
"9","8"
"10","7.9"
"11","7.9"
"12","8.1"
"13","0"
"14","8"
"15","12.1"
"16","8"
"17","8.1"
"18","15.9"
"19","4.1"
"20","8"
"21","8"
"22","8"
"23","12.1"
"24","3.9"
"25","16"
"26","8"
"27","3.8"
"28","7.7"
"29","11.9"
"30","7.9"
"31","3.8"
"32","8"
"33","8"
"34","4.1"
"35","7.8"
"36","4"
"37","4"
"38","8.3"
"39","3.9"
"40","8"
"41","4.2"
"42","8.1"
"43","4.1"
"44","4.1"
"45","8"
"46","11.7"
"47","7.9"
"48","7.9"
"49","7.8"
"50","4"
"51","8"
"52","8"
"53","7.9"
"54","8.1"
"55","7.9"
"56","8"
"57","4"
"58","12"
"59","4.2"
"60","12"
"61","8"
"62","8"
"63","12"
"64","4"
"65","0"
"66","4"
"67","11.9"
"68","4"
"69","11.8"
"70","7.9"
"71","4"
"72","8"
"73","3.8"
"74","8.2"
"75","4"
"76","8.1"
"77","8.1"
"78","11.9"
"79","8"
"80","8.1"
"81","15.7"
"82","4.1"
"83","7.9"
"84","8.2"
"85","4.1"
"86","8"
"87","4"
"88","4.1"
"89","4"
