"SecondIndex","WaitMs"
"0","0"
"1","8.1"
"2","8"
"3","8"
"4","11.9"
"5","0"
"6","4"
"7","8.1"
"8","7.9"
"9","8"
"10","7.8"
"11","0"
"12","4"
"13","8"
"14","0"
"15","4"
"16","3.8"
"17","4"
"18","8.1"
"19","4"
"20","4"
"21","4"
"22","0"
"23","0"
"24","8"
"25","4.1"
"26","8"
"27","0"
"28","4"
"29","8.1"
"30","8"
"31","4.1"
"32","8.1"
"33","16.1"
"34","0"
"35","4"
"36","4"
"37","4"
"38","4"
"39","0"
"40","8"
"41","8"
"42","0"
"43","7.9"
"44","8.1"
"45","4"
"46","4"
"47","8"
"48","4"
"49","4"
"50","4"
"51","4"
"52","7.9"
"53","8"
"54","0"
"55","4"
"56","8.1"
"57","20.1"
"58","3.8"
"59","7.7"
"60","7.9"
"61","12"
"62","12"
"63","0"
"64","3.9"
"65","0"
"66","0"
"67","4"
"68","4"
"69","4"
"70","4.1"
"71","8"
"72","4"
"73","0"
"74","3.9"
"75","0"
"76","0"
"77","4"
"78","4.1"
"79","0"
"80","8"
"81","4"
"82","8"
"83","16"
"84","7.8"
"85","4.1"
"86","7.7"
"87","4"
"88","8"
"89","8.1"
