"SecondIndex","WaitMs"
"0","0"
"1","0"
"2","4"
"3","8.1"
"4","0"
"5","3.9"
"6","8"
"7","8"
"8","4.1"
"9","8"
"10","8"
"11","4.1"
"12","12"
"13","4"
"14","8"
"15","4"
"16","4"
"17","0"
"18","4"
"19","4"
"20","0"
"21","0"
"22","0"
"23","4"
"24","3.9"
"25","8.1"
"26","8"
"27","0"
"28","0"
"29","3.9"
"30","4"
"31","4"
"32","4"
"33","8"
"34","4"
"35","8.1"
"36","4"
"37","4"
"38","8"
"39","4"
"40","8.1"
"41","8"
"42","4"
"43","0"
"44","0"
"45","8.1"
"46","4"
"47","7.9"
"48","8.2"
"49","7.9"
"50","3.9"
"51","3.9"
"52","4"
"53","0"
"54","8"
"55","4"
"56","4"
"57","0"
"58","0"
"59","0"
"60","4"
"61","0"
"62","8"
"63","8.1"
"64","4.1"
"65","4"
"66","3.8"
"67","7.9"
"68","8.1"
"69","8.1"
"70","0"
"71","0"
"72","4"
"73","4.1"
"74","8"
"75","4"
"76","7.9"
"77","0"
"78","4.1"
"79","4"
"80","7.8"
"81","8"
"82","0"
"83","4"
"84","0"
"85","4"
"86","4"
"87","4"
"88","8"
"89","8"
