"ElapsedMs","WallClock","Handle","Class","Flags"
"0.3","21:24:22.154","0x16C0869","unknown:0x16C0869","1"
"1012.1","21:24:23.166","0x10007","WAIT","1"
"1016.1","21:24:23.170","0x16C0869","unknown:0x16C0869","1"
"1032","21:24:23.186","0x10007","WAIT","1"
"1036.1","21:24:23.190","0x16C0869","unknown:0x16C0869","1"
"2032","21:24:24.186","0x10007","WAIT","1"
"2036.1","21:24:24.190","0x16C0869","unknown:0x16C0869","1"
"3060","21:24:25.214","0x10007","WAIT","1"
"3064","21:24:25.218","0x16C0869","unknown:0x16C0869","1"
"4012","21:24:26.166","0x10007","WAIT","1"
"4016.1","21:24:26.170","0x16C0869","unknown:0x16C0869","1"
"5020","21:24:27.174","0x10007","WAIT","1"
"5024.1","21:24:27.178","0x16C0869","unknown:0x16C0869","1"
"6076.1","21:24:28.230","0x10007","WAIT","1"
"6080.1","21:24:28.234","0x16C0869","unknown:0x16C0869","1"
"8056","21:24:30.210","0x10007","WAIT","1"
"8060.1","21:24:30.214","0x16C0869","unknown:0x16C0869","1"
"8076","21:24:30.230","0x10007","WAIT","1"
"8080","21:24:30.234","0x16C0869","unknown:0x16C0869","1"
"9088","21:24:31.242","0x10007","WAIT","1"
"9092","21:24:31.246","0x16C0869","unknown:0x16C0869","1"
"10120","21:24:32.274","0x10007","WAIT","1"
"10124","21:24:32.278","0x16C0869","unknown:0x16C0869","1"
"10132","21:24:32.286","0x10007","WAIT","1"
"10144.1","21:24:32.298","0x16C0869","unknown:0x16C0869","1"
"11132","21:24:33.286","0x10007","WAIT","1"
"11136","21:24:33.290","0x16C0869","unknown:0x16C0869","1"
"11156","21:24:33.310","0x10007","WAIT","1"
"11160","21:24:33.314","0x16C0869","unknown:0x16C0869","1"
"12132","21:24:34.286","0x10007","WAIT","1"
"12136.1","21:24:34.290","0x16C0869","unknown:0x16C0869","1"
"12152","21:24:34.306","0x10007","WAIT","1"
"12156.1","21:24:34.310","0x16C0869","unknown:0x16C0869","1"
"13160","21:24:35.314","0x10007","WAIT","1"
"13164.1","21:24:35.318","0x16C0869","unknown:0x16C0869","1"
"13176","21:24:35.330","0x10007","WAIT","1"
"13180.1","21:24:35.334","0x16C0869","unknown:0x16C0869","1"
"14164","21:24:36.318","0x10007","WAIT","1"
"14168.1","21:24:36.322","0x16C0869","unknown:0x16C0869","1"
"16172.1","21:24:38.326","0x10007","WAIT","1"
"16176.1","21:24:38.330","0x16C0869","unknown:0x16C0869","1"
"16196","21:24:38.350","0x10007","WAIT","1"
"16200","21:24:38.354","0x16C0869","unknown:0x16C0869","1"
"18280","21:24:40.434","0x10007","WAIT","1"
"18284","21:24:40.438","0x16C0869","unknown:0x16C0869","1"
"18296.1","21:24:40.450","0x10007","WAIT","1"
"18300","21:24:40.454","0x16C0869","unknown:0x16C0869","1"
"19300","21:24:41.454","0x10007","WAIT","1"
"19304.1","21:24:41.458","0x16C0869","unknown:0x16C0869","1"
"20312.1","21:24:42.466","0x10007","WAIT","1"
"20316","21:24:42.470","0x16C0869","unknown:0x16C0869","1"
"20328","21:24:42.482","0x10007","WAIT","1"
"20332","21:24:42.486","0x16C0869","unknown:0x16C0869","1"
"21328","21:24:43.482","0x10007","WAIT","1"
"21332","21:24:43.486","0x16C0869","unknown:0x16C0869","1"
"23868","21:24:46.022","0x10007","WAIT","1"
"23872","21:24:46.026","0x16C0869","unknown:0x16C0869","1"
"24904","21:24:47.058","0x10007","WAIT","1"
