"SecondIndex","WaitMs"
"0","4"
"1","0"
"2","4.1"
"3","4.1"
"4","8.1"
"5","8"
"6","3.9"
"7","8.1"
"8","8.1"
"9","8.1"
"10","4"
"11","8.1"
"12","8"
"13","8"
"14","3.8"
"15","8.2"
"16","7.8"
"17","0"
"18","4"
"19","3.9"
"20","4"
"21","3.9"
"22","0"
"23","8"
"24","7.9"
"25","4"
"26","4"
"27","0"
"28","4"
"29","0"
"30","4.1"
"31","8"
"32","8.1"
"33","4.1"
"34","4"
"35","4.1"
"36","8.1"
"37","4"
"38","4"
"39","0"
"40","8"
"41","8"
"42","4"
"43","4"
"44","3.9"
"45","4"
"46","8"
"47","4.1"
"48","8.1"
"49","4.1"
"50","0"
"51","8"
"52","12"
"53","4.1"
"54","4"
"55","8.1"
"56","3.9"
"57","8.2"
"58","4"
"59","8.1"
"60","0"
"61","4"
"62","0"
"63","0"
"64","7.7"
"65","0"
"66","8"
"67","4"
"68","4.1"
"69","4"
"70","8"
"71","4"
"72","4"
"73","7.9"
"74","0"
"75","0"
"76","8"
"77","11.9"
"78","8.1"
"79","0"
"80","8"
"81","4.1"
"82","7.9"
"83","4.1"
"84","4"
"85","4"
"86","0"
"87","8"
"88","4"
"89","8"
