StartTimer,ElapsedMs,FreshRecords,AggregateReadMs,FlushTools
57359.6640625,15.625,7,3.90625,0
57364.67578125,15.625,7,3.90625,0
57369.68359375,15.625,7,7.8125,0
57374.6953125,15.625,7,3.90625,0
57379.69921875,15.625,7,3.90625,0
57383.01953125,11.71875,7,3.90625,0
57384.01953125,7.8125,6,3.90625,0
57385.01171875,7.8125,6,3.90625,0
57386.01953125,7.8125,7,3.90625,0
57387.00390625,7.8125,5,3.90625,0
57388.0078125,11.71875,7,3.90625,0
57389.00390625,7.8125,6,3.90625,0
57390,11.71875,7,7.8125,0
57391.4921875,15.625,7,3.90625,0
57392.01171875,3.90625,4,3.90625,0
57393.00390625,7.8125,6,3.90625,0
57394.5078125,11.71875,7,3.90625,0
57395.02734375,3.90625,6,0,0
57396,11.71875,4,7.8125,0
57397.484375,11.71875,7,3.90625,0
57398.00390625,3.90625,3,3.90625,0
57399.453125,15.625,7,7.8125,0
57400.453125,11.71875,7,7.8125,0
57401.43359375,11.71875,7,3.90625,0
57402.453125,11.71875,7,3.90625,0
57403.4765625,11.71875,7,3.90625,0
57404.5,11.71875,7,3.90625,0
57405.5234375,15.625,7,7.8125,0
57406.52734375,11.71875,7,7.8125,0
57407.5546875,11.71875,7,3.90625,0
57408.56640625,11.71875,7,7.8125,0
57409.58203125,15.625,7,7.8125,0
57414.59375,11.71875,7,7.8125,0
57419.609375,11.71875,7,3.90625,0
57424.6171875,11.71875,7,7.8125,0
57429.62109375,11.71875,7,7.8125,0
57434.6328125,11.71875,7,3.90625,0
57439.640625,11.71875,7,3.90625,0
57444.66015625,15.625,7,7.8125,0
